seed,mcnemar_rf_lr_p
81917935,0.454498291015625
1423531748,0.5078125
1410148909,0.75390625
2127196113,1.0
85640236,0.3876953125
593616932,1.0
1036118977,0.5078125
1838822385,0.480682373046875
1773174734,0.266845703125
2029477594,1.0
1116356394,0.2890625
333262566,1.0
43121463,0.109375
1168234388,0.3876953125
58782912,0.266845703125
747706778,0.109375
652636424,1.0
557379365,1.0
35038454,0.1796875
1307094579,0.3876953125
641328687,1.0
1029967937,0.5810546875
1276927708,0.7265625
1842915955,0.109375
99494448,0.6875
1818176082,0.4239501953125
627770123,1.0
1822686936,1.0
449510988,0.803619384765625
654710547,1.0
2052944477,1.0
1745940059,0.109375
1337746162,0.7744140625
1616859554,0.5078125
2018558960,1.0
1521566634,0.629058837890625
1156354970,0.4239501953125
635497189,0.79052734375
689506969,0.5078125
909498462,0.03857421875
1481494771,1.0
856436449,0.3876953125
2117476630,1.0
719945938,0.7744140625
1315903881,0.34375
1416542619,1.0
1748300020,0.5078125
534436561,0.109375
1973057460,0.34375
109077341,0.5810546875
1933252443,1.0
1073942744,0.625
1170645904,0.03857421875
1864124409,0.5078125
85160275,1.0
2125887773,0.1795654296875
153123646,1.0
861347482,1.0
1337277525,1.0
1407216795,0.453125
1873096035,1.0
323503005,1.0
1944803947,0.75390625
1809624471,0.30175781249999994
52372625,1.0
1684598997,0.21875
1046836037,1.0
1764511543,0.5810546875
1916129155,0.4239501953125
889319620,0.1795654296875
859243063,0.143463134765625
421821007,0.8145294189453125
1430130624,1.0
2127670396,1.0
1195809766,1.0
1915183132,0.480682373046875
678932049,1.0
1028221948,0.5078125
1911187370,0.5810546875
1084594862,0.057373046875
1378254408,0.7744140625
949567492,0.6875
376653715,0.79052734375
702845247,0.7265625
1120083541,1.0
37473694,0.75390625
1863364304,0.454498291015625
509702858,0.210113525390625
577156664,0.143463134765625
82411108,1.0
1507380408,0.7265625
1689961409,0.548828125
1604234904,0.375
132774780,0.14599609375
1456718291,0.7265625
488388183,0.1796875
246787963,0.0703125
441476653,0.266845703125
174239938,0.0703125
1117940921,1.0
1525623065,1.0
912631776,0.2265625
389776827,0.2265625
1635895018,0.34375
1781622543,1.0
155482921,0.125
1416597071,0.375
723194912,0.7744140625
762231048,1.0
1719450633,0.7744140625
1133700178,1.0
272991822,1.0
774813824,0.548828125
676395021,0.04138946533203125
1588559311,0.125
695209131,0.5810546875
268514007,0.5810546875
1966276183,0.30175781249999994
441914647,0.4239501953125
591014801,0.548828125
2135779795,0.7744140625
820482730,0.03857421875
1769438103,0.480682373046875
91885825,1.0
260669647,1.0
626337280,0.3876953125
1549600989,0.5078125
323210248,1.0
1576436216,1.0
1975512194,0.09228515625
293124440,0.79052734375
1083800450,0.0654296875
1957912197,0.480682373046875
1259055438,0.453125
1498511697,1.0
411960549,0.0703125
489656913,1.0
1052840940,0.3876953125
1315861966,0.34375
1514995063,0.057373046875
963365837,1.0
168796986,0.75390625
905564345,1.0
888696819,0.548828125
1395643329,0.453125
121018923,0.076812744140625
1159648766,0.057373046875
1839076421,0.3876953125
653590498,0.5810546875
133106634,1.0
808206572,0.30175781249999994
1895198045,1.0
827148691,1.0
1950155056,0.4239501953125
345785596,1.0
1378365011,0.454498291015625
1660190578,0.21875
776683870,1.0
823887643,0.4239501953125
1155596458,0.14599609375
1559644856,0.38331031799316406
1765487046,0.30175781249999994
1126513285,0.79052734375
1751062340,1.0
788012686,0.34375
1552724617,0.7744140625
876173753,0.453125
24554781,1.0
1319292700,1.0
261784439,1.0
931954348,0.7744140625
1132550074,0.7744140625
304501440,0.7265625
791266268,0.6476058959960938
2099486691,0.0703125
2143216821,1.0
1097366086,0.5078125
1261174774,0.14599609375
1256780936,0.5810546875
984341616,0.75390625
633002732,0.3876953125
675624864,0.75390625
853675170,0.75390625
1597371038,0.7744140625
108608871,1.0
304074450,0.210113525390625
1815338451,0.803619384765625
434253977,0.453125
306440581,0.79052734375
687705896,0.79052734375
1321086270,0.5078125
581936868,1.0
297939276,1.0
238526,0.803619384765625
347157393,0.5810546875
1647701550,0.75390625
1567054801,1.0
2136513437,0.803619384765625
1099845262,0.7265625
1658225597,1.0
1439335988,1.0
2126364432,0.6072387695312499
546285103,1.0
496394669,0.480682373046875
1683987321,0.548828125
452579148,0.7744140625
71872520,0.012725830078125
371553838,1.0
892006468,0.266845703125
84820627,0.2890625
582397270,0.34375
5656205,0.548828125
618971506,0.3876953125
489927574,0.629058837890625
1307906613,0.453125
278254142,1.0
1474202240,1.0
1933292214,0.548828125
679495648,0.548828125
804241044,1.0
314255549,0.79052734375
1364454086,0.5078125
1859522518,0.1796875
101592901,0.1795654296875
1307916091,0.79052734375
1584233744,1.0
55896052,0.012725830078125
1138546631,1.0
2008300354,1.0
724868017,1.0
906881677,0.75390625
938550938,0.2265625
228723612,1.0
1548991806,0.548828125
2120635974,0.5810546875
27437209,1.0
1116295151,1.0
477021467,1.0
1679709662,0.30175781249999994
